installment_id,loan_id,customer_id,full_name,city,segment,monthly_income,origination_date,origination_cohort,loan_principal_amount,annual_rate,term_months,loan_status,product_type,installment_number,due_date,principal_due,interest_due,total_due_amount,installment_status,total_paid_amount,ultima_fecha_pago,canales_de_pago,is_fully_paid,days_late,estado_gestion,dias_mora,indice_dti
I084,L021,C021,OSCAR JIMENEZ,BARRANQUILLA,MASS MARKET,2800000,2025-01-08,2025-01,5000000,0.32,6,ACTIVE,DIGITAL,3,2025-04-08,833333,88889,922222,DUE,0,,,false,382,MORA,382,32.94
I082,L021,C021,OSCAR JIMENEZ,BARRANQUILLA,MASS MARKET,2800000,2025-01-08,2025-01,5000000,0.32,6,ACTIVE,DIGITAL,1,2025-02-08,833333,133333,966666,PAID,966666,2025-02-09,PSE,true,1,PAGADA,0,34.52
I083,L021,C021,OSCAR JIMENEZ,BARRANQUILLA,MASS MARKET,2800000,2025-01-08,2025-01,5000000,0.32,6,ACTIVE,DIGITAL,2,2025-03-08,833333,111111,944444,PAID,944444,2025-03-11,PSE,true,3,PAGADA,0,33.73
I130,L043,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2025-01-10,2025-01,4000000,0.32,6,DEFAULT,DIGITAL,1,2025-02-10,666667,106667,773334,PAID,773334,2025-02-12,ACH,true,2,PAGADA,0,24.17
I132,L043,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2025-01-10,2025-01,4000000,0.32,6,DEFAULT,DIGITAL,3,2025-04-10,666667,71111,737778,DUE,0,,,false,380,MORA,380,23.06
I131,L043,C017,DAVID OSPINA,CARTAGENA,MASS MARKET,3200000,2025-01-10,2025-01,4000000,0.32,6,DEFAULT,DIGITAL,2,2025-03-10,666667,88889,755556,LATE,0,,,false,411,MORA,411,23.61
I135,L003,C003,MARIA ROJAS,CALI,MASS MARKET,3800000,2025-01-20,2025-01,8000000,0.28,10,ACTIVE,PAYROLL,99,2025-01-20,800000,186667,986667,LATE,500000,2025-03-25,CASH,false,460,MORA,460,25.96
I128,L041,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2025-01-20,2025-01,8000000,0.26,10,ACTIVE,PAYROLL,2,2025-03-20,800000,156000,956000,PARTIAL,368107,2025-03-31,PSE,false,0,MORA,401,24.51
I007,L003,C003,MARIA ROJAS,CALI,MASS MARKET,3800000,2025-01-20,2025-01,8000000,0.28,10,ACTIVE,PAYROLL,1,2025-02-20,800000,186667,986667,PAID,986667,2025-02-20,ACH,true,0,PAGADA,0,25.96
I008,L003,C003,MARIA ROJAS,CALI,MASS MARKET,3800000,2025-01-20,2025-01,8000000,0.28,10,ACTIVE,PAYROLL,2,2025-03-20,800000,168000,968000,PAID,968000,2025-03-23,CASH,true,3,PAGADA,0,25.47
I127,L041,C009,FERNANDO LOPEZ,BOGOTÁ,MASS MARKET,3900000,2025-01-20,2025-01,8000000,0.26,10,ACTIVE,PAYROLL,1,2025-02-20,800000,173333,973333,PAID,973333,2025-02-23,ACH,true,3,PAGADA,0,24.96
I089,L023,C023,IVAN CARDENAS,BUCARAMANGA,MASS MARKET,4300000,2025-01-22,2025-01,13000000,0.24,12,ACTIVE,DIGITAL,2,2025-03-22,1083333,238333,1321666,PAID,1321666,2025-03-22,BRANCH,true,0,PAGADA,0,30.74
I088,L023,C023,IVAN CARDENAS,BUCARAMANGA,MASS MARKET,4300000,2025-01-22,2025-01,13000000,0.24,12,ACTIVE,DIGITAL,1,2025-02-22,1083333,260000,1343333,PAID,1343333,2025-02-25,PSE,true,3,PAGADA,0,31.24
I093,L025,C025,ALEJANDRO BERNAL,BOGOTÁ,MASS MARKET,4600000,2025-02-05,2025-02,14000000,0.25,14,ACTIVE,PAYROLL,2,2025-04-05,1000000,270833,1270833,DUE,0,,,false,385,MORA,385,27.63
I092,L025,C025,ALEJANDRO BERNAL,BOGOTÁ,MASS MARKET,4600000,2025-02-05,2025-02,14000000,0.25,14,ACTIVE,PAYROLL,1,2025-03-05,1000000,291667,1291667,PAID,1291667,2025-03-05,PSE,true,0,PAGADA,0,28.08
I011,L005,C005,LAURA GOMEZ,BARRANQUILLA,MASS MARKET,3100000,2025-02-12,2025-02,6000000,0.3,8,ACTIVE,DIGITAL,1,2025-03-12,750000,150000,900000,PARTIAL,278359,2025-03-19,ACH,false,0,MORA,409,29.03
I012,L005,C005,LAURA GOMEZ,BARRANQUILLA,MASS MARKET,3100000,2025-02-12,2025-02,6000000,0.3,8,ACTIVE,DIGITAL,2,2025-04-12,750000,131250,881250,DUE,0,,,false,378,MORA,378,28.43
I096,L027,C027,PEDRO RAMIREZ,CARTAGENA,MASS MARKET,3400000,2025-02-15,2025-02,6500000,0.3,8,ACTIVE,PAYROLL,1,2025-03-15,812500,162500,975000,PAID,975000,2025-03-15,PSE,true,0,PAGADA,0,28.68
I097,L027,C027,PEDRO RAMIREZ,CARTAGENA,MASS MARKET,3400000,2025-02-15,2025-02,6500000,0.3,8,ACTIVE,PAYROLL,2,2025-04-15,812500,142188,954688,DUE,0,,,false,375,MORA,375,28.08
I099,L029,C029,GUSTAVO ALVAREZ,BOGOTÁ,MASS MARKET,5100000,2025-02-25,2025-02,16000000,0.24,14,ACTIVE,DIGITAL,1,2025-03-25,1142857,320000,1462857,PARTIAL,856661,2025-04-10,PSE,false,0,MORA,396,28.68
I124,L039,C015,MIGUEL ANGEL PARRA,BOGOTÁ,MASS MARKET,4800000,2025-03-01,2025-03,9000000,0.27,10,ACTIVE,PAYROLL,1,2025-04-01,900000,202500,1102500,PAID,1102500,2025-04-04,ACH,true,3,PAGADA,0,22.97
I015,L007,C007,ANDRES RUIZ,BOGOTÁ,MASS MARKET,4500000,2025-03-02,2025-03,15000000,0.26,14,ACTIVE,DIGITAL,1,2025-04-02,1071429,325000,1396429,PARTIAL,526669,2025-04-15,BRANCH,false,0,MORA,388,31.03
I129,L042,C021,OSCAR JIMENEZ,BARRANQUILLA,MASS MARKET,2800000,2025-03-05,2025-03,4500000,0.33,6,ACTIVE,DIGITAL,1,2025-04-05,750000,123750,873750,DUE,0,,,false,385,MORA,385,31.21
I101,L031,C031,ERNESTO MEJIA,MEDELLÍN,MASS MARKET,3600000,2025-03-05,2025-03,7500000,0.28,10,ACTIVE,DIGITAL,1,2025-04-05,750000,175000,925000,DUE,0,,,false,385,MORA,385,25.69
I104,L034,C035,FABIAN ORTIZ,BOGOTÁ,MASS MARKET,4400000,2025-03-15,2025-03,11500000,0.26,12,ACTIVE,DIGITAL,1,2025-04-15,958333,249167,1207500,DUE,0,,,false,375,MORA,375,27.44
I105,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,1,2024-08-10,1250000,287500,1537500,PAID,1537500,2024-08-12,PSE,true,2,PAGADA,0,17.88
I106,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,2,2024-09-10,1250000,263542,1513542,PAID,1513542,2024-09-10,BRANCH,true,0,PAGADA,0,17.6
I109,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,5,2024-12-10,1250000,191667,1441667,PAID,1441667,2024-12-10,PSE,true,0,PAGADA,0,16.76
I112,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,8,2025-03-10,1250000,119792,1369792,PAID,1369792,2025-03-11,CASH,true,1,PAGADA,0,15.93
I113,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,9,2025-04-10,1250000,95833,1345833,PAID,1345833,2025-04-13,CASH,true,3,PAGADA,0,15.65
I110,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,6,2025-01-10,1250000,167708,1417708,PAID,1417708,2025-01-10,ACH,true,0,PAGADA,0,16.48
I107,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,3,2024-10-10,1250000,239583,1489583,PAID,1489583,2024-10-13,PSE,true,3,PAGADA,0,17.32
I111,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,7,2025-02-10,1250000,143750,1393750,PAID,1393750,2025-02-11,CASH,true,1,PAGADA,0,16.21
I108,L035,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-07-10,2024-07,15000000,0.23,12,CLOSED,DIGITAL,4,2024-11-10,1250000,215625,1465625,PAID,1465625,2024-11-13,CASH,true,3,PAGADA,0,17.04
I029,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,5,2025-01-20,1222222,285185,1507407,PAID,1507407,2025-01-20,CASH,true,0,PAGADA,0,13.46
I027,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,3,2024-11-20,1222222,325926,1548148,PAID,1548148,2024-11-20,ACH,true,0,PAGADA,0,13.82
I030,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,6,2025-02-20,1222222,264815,1487037,PAID,1487037,2025-02-20,PSE,true,0,PAGADA,0,13.28
I031,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,7,2025-03-20,1222222,244444,1466666,DUE,0,,,false,401,MORA,401,13.1
I025,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,1,2024-09-20,1222222,366667,1588889,PAID,1588889,2024-09-21,PSE,true,1,PAGADA,0,14.19
I028,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,4,2024-12-20,1222222,305556,1527778,PAID,1527778,2024-12-22,PSE,true,2,PAGADA,0,13.64
I026,L010,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2024-08-20,2024-08,22000000,0.2,18,ACTIVE,DIGITAL,2,2024-10-20,1222222,346296,1568518,PAID,1568518,2024-10-21,PSE,true,1,PAGADA,0,14
I054,L014,C014,VALENTINA RIOS,BARRANQUILLA,PREMIUM,8900000,2024-10-15,2024-10,28000000,0.21,18,ACTIVE,PAYROLL,4,2025-02-15,1555556,408333,1963889,PAID,1963889,2025-02-16,PSE,true,1,PAGADA,0,22.07
I053,L014,C014,VALENTINA RIOS,BARRANQUILLA,PREMIUM,8900000,2024-10-15,2024-10,28000000,0.21,18,ACTIVE,PAYROLL,3,2025-01-15,1555556,435556,1991112,PAID,1991112,2025-01-16,CASH,true,1,PAGADA,0,22.37
I052,L014,C014,VALENTINA RIOS,BARRANQUILLA,PREMIUM,8900000,2024-10-15,2024-10,28000000,0.21,18,ACTIVE,PAYROLL,2,2024-12-15,1555556,462778,2018334,PAID,2018334,2024-12-15,PSE,true,0,PAGADA,0,22.68
I055,L014,C014,VALENTINA RIOS,BARRANQUILLA,PREMIUM,8900000,2024-10-15,2024-10,28000000,0.21,18,ACTIVE,PAYROLL,5,2025-03-15,1555556,381111,1936667,PAID,1936667,2025-03-18,ACH,true,3,PAGADA,0,21.76
I051,L014,C014,VALENTINA RIOS,BARRANQUILLA,PREMIUM,8900000,2024-10-15,2024-10,28000000,0.21,18,ACTIVE,PAYROLL,1,2024-11-15,1555556,490000,2045556,PAID,2045556,2024-11-15,ACH,true,0,PAGADA,0,22.98
I056,L014,C014,VALENTINA RIOS,BARRANQUILLA,PREMIUM,8900000,2024-10-15,2024-10,28000000,0.21,18,ACTIVE,PAYROLL,6,2025-04-15,1555556,353889,1909445,DUE,0,,,false,375,MORA,375,21.45
I071,L018,C018,PAOLA MENDEZ,BOGOTÁ,PREMIUM,10500000,2024-12-01,2024-12,30000000,0.2,18,ACTIVE,PAYROLL,1,2025-01-01,1666667,500000,2166667,PAID,2166667,2025-01-01,PSE,true,0,PAGADA,0,20.63
I074,L018,C018,PAOLA MENDEZ,BOGOTÁ,PREMIUM,10500000,2024-12-01,2024-12,30000000,0.2,18,ACTIVE,PAYROLL,4,2025-04-01,1666667,416667,2083334,PARTIAL,1010813,2025-04-13,PSE,false,0,MORA,389,19.84
I073,L018,C018,PAOLA MENDEZ,BOGOTÁ,PREMIUM,10500000,2024-12-01,2024-12,30000000,0.2,18,ACTIVE,PAYROLL,3,2025-03-01,1666667,444444,2111111,PAID,2111111,2025-03-03,CASH,true,2,PAGADA,0,20.11
I072,L018,C018,PAOLA MENDEZ,BOGOTÁ,PREMIUM,10500000,2024-12-01,2024-12,30000000,0.2,18,ACTIVE,PAYROLL,2,2025-02-01,1666667,472222,2138889,PAID,2138889,2025-02-03,PSE,true,2,PAGADA,0,20.37
I005,L002,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-12-05,2024-12,12000000,0.12,24,ACTIVE,VEHICLE,2,2025-03-12,1388889,413194,1802083,PAID,1802083,2025-03-12,ACH,true,0,PAGADA,0,20.95
I004,L002,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-12-05,2024-12,12000000,0.12,24,ACTIVE,VEHICLE,1,2025-02-12,1388889,437500,1826389,PAID,1826389,2025-02-13,ACH,true,1,PAGADA,0,21.24
I006,L002,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2024-12-05,2024-12,12000000,0.12,24,ACTIVE,VEHICLE,3,2025-04-12,1388889,388889,1777778,DUE,0,,,false,378,MORA,378,20.67
I005,L002,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2025-01-12,2025-01,25000000,0.21,18,ACTIVE,DIGITAL,2,2025-03-12,1388889,413194,1802083,PAID,1802083,2025-03-12,ACH,true,0,PAGADA,0,20.95
I004,L002,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2025-01-12,2025-01,25000000,0.21,18,ACTIVE,DIGITAL,1,2025-02-12,1388889,437500,1826389,PAID,1826389,2025-02-13,ACH,true,1,PAGADA,0,21.24
I006,L002,C002,LUIS PEREZ,MEDELLÍN,PREMIUM,8600000,2025-01-12,2025-01,25000000,0.21,18,ACTIVE,DIGITAL,3,2025-04-12,1388889,388889,1777778,DUE,0,,,false,378,MORA,378,20.67
I087,L022,C022,MARCELA DUARTE,BOGOTÁ,PREMIUM,9200000,2025-01-15,2025-01,26000000,0.21,18,ACTIVE,PAYROLL,3,2025-04-15,1444444,404444,1848888,DUE,0,,,false,375,MORA,375,20.1
I086,L022,C022,MARCELA DUARTE,BOGOTÁ,PREMIUM,9200000,2025-01-15,2025-01,26000000,0.21,18,ACTIVE,PAYROLL,2,2025-03-15,1444444,429722,1874166,LATE,0,,,false,406,MORA,406,20.37
I085,L022,C022,MARCELA DUARTE,BOGOTÁ,PREMIUM,9200000,2025-01-15,2025-01,26000000,0.21,18,ACTIVE,PAYROLL,1,2025-02-15,1444444,455000,1899444,PAID,1899444,2025-02-16,PSE,true,1,PAGADA,0,20.65
I121,L037,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2025-01-18,2025-01,18000000,0.22,12,ACTIVE,PAYROLL,1,2025-02-18,1500000,330000,1830000,PAID,1830000,2025-02-18,ACH,true,0,PAGADA,0,16.34
I122,L037,C010,DIANA CASTRO,MEDELLÍN,PREMIUM,11200000,2025-01-18,2025-01,18000000,0.22,12,ACTIVE,PAYROLL,2,2025-03-18,1500000,302500,1802500,PAID,1802500,2025-03-18,PSE,true,0,PAGADA,0,16.09
I095,L026,C026,LUISA FERNANDA GIL,MEDELLÍN,PREMIUM,12100000,2025-02-10,2025-02,19000000,0.22,12,ACTIVE,DIGITAL,2,2025-04-10,1583333,319306,1902639,DUE,0,,,false,380,MORA,380,15.72
I094,L026,C026,LUISA FERNANDA GIL,MEDELLÍN,PREMIUM,12100000,2025-02-10,2025-02,19000000,0.22,12,ACTIVE,DIGITAL,1,2025-03-10,1583333,348333,1931666,PAID,1931666,2025-03-11,ACH,true,1,PAGADA,0,15.96
I014,L006,C006,SOFIA MARIN,MEDELLÍN,PREMIUM,9700000,2025-02-15,2025-02,20000000,0.22,12,ACTIVE,PAYROLL,2,2025-04-15,1666667,336111,2002778,DUE,0,,,false,375,MORA,375,20.65
I013,L006,C006,SOFIA MARIN,MEDELLÍN,PREMIUM,9700000,2025-02-15,2025-02,20000000,0.22,12,ACTIVE,PAYROLL,1,2025-03-15,1666667,366667,2033334,LATE,0,,,false,406,MORA,406,20.96
I126,L040,C018,PAOLA MENDEZ,BOGOTÁ,PREMIUM,10500000,2025-02-15,2025-02,25000000,0.21,15,ACTIVE,DIGITAL,2,2025-04-15,1666667,408333,2075000,DUE,0,,,false,375,MORA,375,19.76
I125,L040,C018,PAOLA MENDEZ,BOGOTÁ,PREMIUM,10500000,2025-02-15,2025-02,25000000,0.21,15,ACTIVE,DIGITAL,1,2025-03-15,1666667,437500,2104167,PAID,2104167,2025-03-17,ACH,true,2,PAGADA,0,20.04
